x,y
209,21
167,206
201,198
189,178
33,204
153,89
150,138
210,44
145,226
190,169
217,47
76,224
152,122
208,14
180,216
142,212
199,55
75,195
119,84
74,224
149,76
191,165
186,203
178,228
150,75
80,211
100,214
69,188
171,85
79,187
181,196
186,55
120,188
228,103
175,122
200,188
178,208
154,160
96,220
186,223
183,195
252,39
102,188
171,182
113,166
164,19
102,201
130,175
157,211
108,190
180,196
221,202
174,66
194,55
150,91
181,99
156,194
199,31
159,111
172,107
179,206
124,90
150,94
210,76
125,99
195,56
81,201
94,174
85,124
82,216
148,186
86,223
140,91
198,26
75,188
62,223
137,87
103,190
144,69
197,180
72,213
201,203
143,203
203,39
160,168
167,49
157,100
160,142
233,32
195,179
81,197
113,221
151,118
162,104
136,210
188,49
106,160
162,51
167,67
197,51
198,66
84,205
194,199
69,231
168,226
231,64
90,213
181,204
181,56
198,71
168,224
143,108
66,183
145,77
163,210
185,44
155,197
137,111
164,80
95,194
198,206
117,103
182,189
67,164
171,185
215,51
132,118
196,193
57,192
210,103
210,63
199,73
74,211
214,205
140,105
193,68
147,167
237,67
162,194
165,85
138,72
209,56
168,99
180,199
202,11
196,151
206,82
165,211
186,83
198,43
66,216
185,213
159,192
184,192
218,72
83,212
226,87
150,124
214,62
64,181
144,91
92,186
165,192
160,203
209,101
146,100
110,186
80,206
93,186
168,111
139,93
179,49
157,83
195,140
73,185
191,60
92,196
108,184
92,201
198,47
211,86
134,197
202,43
223,205
173,90
85,178
226,40
179,223
191,217
203,44
220,15
86,201
206,44
129,67
81,186
153,105
153,103
122,216
243,89
199,44
60,176
148,84
101,191
176,182
154,92
252,72
164,94
115,107
185,184
145,93
218,38
116,108
115,195
131,79
206,16
130,93
120,189
145,110
131,83
198,211
162,210
121,96
151,206
157,93
160,95
224,57
231,54
100,212
62,212
156,211
181,46
229,39
163,201
165,216
107,182
203,62
196,200
114,216
156,202
105,184
83,188
118,229
192,27
208,63
84,218
185,199
185,63
168,215
197,60
66,199
231,61
90,194
203,59
94,228
210,223
201,46
89,170
203,72
230,58
159,61
212,78
116,99
187,214
204,50
64,217
187,211
243,83
160,77
225,25
85,203
165,85
131,190
170,183
194,205
179,97
171,102
130,103
78,182
87,201
212,47
174,193
100,174
81,233
129,101
153,95
158,70
183,38
89,205
202,46
160,105
221,58
226,59
173,176
162,201
173,115
184,74
161,221
177,97
161,85
98,207
